Date,PX_LAST
2002/1/14,1219.45
2002/1/15,1221.9
2002/1/16,1220.83
2002/1/17,1214.57
2002/1/18,1218.04
2002/1/22,1218.56
2002/1/23,1212.84
2002/1/24,1212.27
2002/1/25,1211.47
2002/1/28,1212.05
2002/1/29,1217.28
2002/1/30,1216.88
2002/1/31,1212.23
2002/2/1,1213.98
2002/2/4,1216.42
2002/2/5,1211.4
2002/2/6,1209.23
2002/2/7,1208.29
2002/2/8,1213.61
2002/2/11,1211.85
2002/2/12,1210.25
2002/2/13,1209.77
2002/2/14,1211.8
2002/2/15,1217.44
2002/2/19,1215.93
2002/2/20,1215.1
2002/2/21,1216.24
2002/2/22,1219.29
2002/2/25,1219.47
2002/2/26,1217.21
2002/2/27,1223.06
2002/2/28,1220.23
2002/3/1,1213.86
2002/3/4,1214.32
2002/3/5,1216.17
2002/3/6,1214.25
2002/3/7,1207.27
2002/3/8,1203.99
2002/3/11,1203.86
2002/3/12,1203.51
2002/3/13,1205.63
2002/3/14,1197.07
2002/3/15,1198.31
2002/3/18,1201.18
2002/3/19,1200.46
2002/3/20,1196.28
2002/3/21,1197.4
2002/3/22,1196.86
2002/3/25,1196.75
2002/3/26,1200.32
2002/3/27,1200.53
2002/3/28,1197.56
2002/3/29,1197.56
2002/4/1,1197.12
2002/4/2,1201.98
2002/4/3,1206.27
2002/4/4,1206.01
2002/4/5,1209.34
2002/4/8,1208.06
2002/4/9,1209.76
2002/4/10,1208.85
2002/4/11,1209.45
2002/4/12,1210.93
2002/4/15,1216.05
2002/4/16,1214.97
2002/4/17,1213.88
2002/4/18,1216.41
2002/4/19,1217.57
2002/4/22,1216.25
2002/4/23,1214.52
2002/4/24,1217.94
2002/4/25,1217.95
2002/4/26,1219.66
2002/4/29,1214.62
2002/4/30,1212.66
2002/5/1,1211.16
2002/5/2,1211.02
2002/5/3,1214.52
2002/5/6,1214.19
2002/5/7,1213.78
2002/5/8,1208.23
2002/5/9,1210.87
2002/5/10,1214.72
2002/5/13,1208.36
2002/5/14,1204.7
2002/5/15,1206.44
2002/5/16,1210.9
2002/5/17,1207.23
2002/5/20,1211.94
2002/5/21,1215.52
2002/5/22,1219.17
2002/5/23,1218.73
2002/5/24,1219.95
2002/5/28,1221.89
2002/5/29,1226.6
2002/5/30,1229.08
2002/5/31,1229.72
2002/6/3,1230.65
2002/6/4,1232.23
2002/6/5,1230.34
2002/6/6,1233.12
2002/6/7,1227.5
2002/6/10,1229.38
2002/6/11,1232.99
2002/6/12,1233.24
2002/6/13,1235.68
2002/6/14,1243.13
2002/6/17,1240.58
